disease_Gene,Cell type,P-value,Disease
RPS24,nk cell,0.004235918,Cholesterol
SH3BP1,t cell,0.002543708,Cholesterol
SHMT2,macrophage,0.008454107,Cholesterol
SLC12A3,nk cell,0.005925357,Cholesterol
SLC12A3,monocyte,0.005925357,Cholesterol
STAC3,macrophage,0.007611858,Cholesterol
STEAP1B,"cd4-positive, alpha-beta t cell",0.002543665,Cholesterol
TMEM176B,monocyte,0.002543708,Cholesterol
TP53,macrophage,0.002543708,Cholesterol
TRAF2,nk cell,0.003390201,Cholesterol
UVRAG,neutrophil,0.001696482,Cholesterol
ZNF335,memory b cell,0.001696511,Cholesterol
ADAMTS4,dendritic cell,0.005081075,Chondrosarcoma
AGER,dendritic cell,0.002543708,Chondrosarcoma
ANGPT1,alveolar fibroblast,0.000848608,Chondrosarcoma
APOBEC3B,classical monocyte,0.003390201,Chondrosarcoma
BCL2L1,endothelial cell of lymphatic vessel,0.002543708,Chondrosarcoma
BCL2L1,pericyte cell,0.002543708,Chondrosarcoma
BMP6,plasma cell,0.000848608,Chondrosarcoma
CCL5,bronchial vessel endothelial cell,0.003390201,Chondrosarcoma
CCL5,vein endothelial cell,4.23E-06,Chondrosarcoma
CCL5,lung microvascular endothelial cell,0.003390201,Chondrosarcoma
CD6,type i pneumocyte,0.00423599,Chondrosarcoma
CD6,club cell,0.00423599,Chondrosarcoma
CD68,vascular associated smooth muscle cell,0.001696511,Chondrosarcoma
CDKN1A,basophil,0.001696511,Chondrosarcoma
COMP,smooth muscle cell,0.003390201,Chondrosarcoma
DRD3,cd8-positive alpha-beta t cell,0.002543708,Chondrosarcoma
DRD3,"cd8-positive, alpha-beta t cell",0.002543708,Chondrosarcoma
GFAP,pericyte cell,0.001696511,Chondrosarcoma
GLB1,bronchial smooth muscle cell,0.001696511,Chondrosarcoma
IFI16,nk cell,0.003390143,Chondrosarcoma
IFI16,b cell,0.003390143,Chondrosarcoma
IL11,lung ciliated cell,0.002543708,Chondrosarcoma
MMP1,basal cell,0.003390201,Chondrosarcoma
MMP28,vascular associated smooth muscle cell,0.002543665,Chondrosarcoma
MMP3,basal cell,0.003390201,Chondrosarcoma
MUC5B,respiratory goblet cell,0.001696511,Chondrosarcoma
PDPN,myofibroblast cell,0.001696511,Chondrosarcoma
POSTN,smooth muscle cell,0.000848608,Chondrosarcoma
PRKAA1,vein endothelial cell,0.002543708,Chondrosarcoma
PTGER1,vascular associated smooth muscle cell,0.003390201,Chondrosarcoma
PTGER1,fibroblast,0.003390201,Chondrosarcoma
PTGS2,mesothelial cell,0.003390029,Chondrosarcoma
PTGS2,fibroblast,0.003390029,Chondrosarcoma
SMO,dendritic cell,0.004235846,Chondrosarcoma
SMO,non-classical monocyte,0.004235846,Chondrosarcoma
TAF15,vascular associated smooth muscle cell,0.002543665,Chondrosarcoma
TFEB,type ii pneumocyte,0.003390201,Chondrosarcoma
TNF,dendritic cell,0.00423599,Chondrosarcoma
TP53,vascular associated smooth muscle cell,0.000848608,Chondrosarcoma
TP63,basal cell,0.000848608,Chondrosarcoma
C6orf10,macrophage,0.002543708,Cirrhosis
C6orf10,liver dendritic cell,0.002543708,Cirrhosis
CTD-2545M3.6,liver dendritic cell,0.001696511,Cirrhosis
CTD-2545M3.6,endothelial cell,0.001696511,Cirrhosis
HLA-DPB1,macrophage,0.001696511,Cirrhosis
POLD1,liver dendritic cell,0.001696511,Cirrhosis
POLD1,endothelial cell,0.001696511,Cirrhosis
SIRPB1,monocyte,0.001696511,Cirrhosis
SIRPG,monocyte,0.000848608,Cirrhosis
SPIB,liver dendritic cell,0.001696511,Cirrhosis
SPIB,endothelial cell,0.001696511,Cirrhosis
ELANE,fibroblast of cardiac tissue,0.005925257,Cleidocranial_Dysplasia
MUL1,cardiac endothelial cell,0.00423599,Cleidocranial_Dysplasia
ADCY5,smooth muscle cell,0.001696511,Coad
ADCY5,bronchial smooth muscle cell,0.001696511,Coad
ADCY5,vascular associated smooth muscle cell,0.001696511,Coad
AGER,dendritic cell,0.002543708,Coad
AGT,bronchial smooth muscle cell,0.002543665,Coad
AGT,vascular associated smooth muscle cell,0.002543665,Coad
AIM2,dendritic cell,0.005080989,Coad
AIM2,b cell,0.005080989,Coad
AIM2,vein endothelial cell,0.005080989,Coad
AIM2,lung microvascular endothelial cell,0.005080989,Coad
ANGPT1,alveolar fibroblast,0.000848608,Coad
ANXA1,fibroblast,0.000848608,Coad
APCS,dendritic cell,0.003390201,Coad
APCS,vein endothelial cell,0.003390201,Coad
APCS,lung microvascular endothelial cell,0.003390201,Coad
APOM,dendritic cell,0.003390201,Coad
ARHGAP42,club cell,0.002543665,Coad
ATP6V1D,dendritic cell,0.000848608,Coad
BCHE,mesothelial cell,0.000848608,Coad
BMP6,plasma cell,0.000848608,Coad
BPIFA1,respiratory goblet cell,0.000848608,Coad
BPIFB1,respiratory goblet cell,0.000848608,Coad
BTBD8,cd4-positive alpha-beta t cell,0.004235846,Coad
C4A,dendritic cell,0.002543708,Coad
CA2,alveolar fibroblast,0.003390201,Coad
CARM1,classical monocyte,0.004235918,Coad
CARM1,non-classical monocyte,0.004235918,Coad
CARM1,intermediate monocyte,0.004235918,Coad
CASP12,endothelial cell of lymphatic vessel,0.002543665,Coad
CASP4,endothelial cell of lymphatic vessel,0.003390143,Coad
CCL18,cd4-positive alpha-beta t cell,0.005080903,Coad
CCL18,cd8-positive alpha-beta t cell,1.06E-05,Coad
CCL18,bronchial vessel endothelial cell,0.005080903,Coad
CCL18,vein endothelial cell,1.06E-05,Coad
CCL18,lung microvascular endothelial cell,0.005080903,Coad
CCL3,cd4-positive alpha-beta t cell,0.005080903,Coad
CCL3,cd8-positive alpha-beta t cell,1.06E-05,Coad
CCL3,bronchial vessel endothelial cell,0.005080903,Coad
CCL3,vein endothelial cell,1.06E-05,Coad
CCL3,lung microvascular endothelial cell,0.005080903,Coad
CCL5,bronchial vessel endothelial cell,0.003390201,Coad
CCL5,vein endothelial cell,4.23E-06,Coad
CCL5,lung microvascular endothelial cell,0.003390201,Coad
CD1A,dendritic cell,0.000848608,Coad
CD1C,dendritic cell,0.000848608,Coad
CD1D,dendritic cell,0.000848608,Coad
CD207,dendritic cell,0.003390201,Coad
CD33,club cell,1.06E-05,Coad
CD38,nk cell,0.004235846,Coad
CD38,"cd8-positive, alpha-beta t cell",0.004235846,Coad
CD5L,nk cell,0.001696511,Coad
CD5L,macrophage,0.001696511,Coad
CD63,smooth muscle cell,0.003390143,Coad
CD63,bronchial smooth muscle cell,0.003390143,Coad
CD63,vascular associated smooth muscle cell,0.003390143,Coad
CD68,vascular associated smooth muscle cell,0.001696511,Coad
CD96,cd4-positive alpha-beta t cell,0.003390201,Coad
CD96,"cd4-positive, alpha-beta t cell",0.003390201,Coad
CD96,type i pneumocyte,0.003390201,Coad
CDX2,classical monocyte,0.000848608,Coad
CDX2,intermediate monocyte,0.000848608,Coad
CEACAM5,neutrophil,0.003390201,Coad
CEACAM5,macrophage,0.003390201,Coad
CHI3L1,macrophage,0.002543708,Coad
CHIT1,macrophage,0.002543708,Coad
CHRM2,capillary aerocyte,0.000848608,Coad
CLDN5,capillary aerocyte,0.003390143,Coad
COL6A1,smooth muscle cell,0.002543665,Coad
CRP,nk cell,0.003390201,Coad
CRP,dendritic cell,0.003390201,Coad
CRP,"cd8-positive, alpha-beta t cell",0.003390201,Coad
CTLA4,cd4-positive alpha-beta t cell,2.12E-06,Coad
CTLA4,cd8-positive alpha-beta t cell,0.002543708,Coad
CTLA4,"cd4-positive, alpha-beta t cell",0.002543708,Coad
CTSE,b cell,0.001696511,Coad
CTSE,club cell,0.001696511,Coad
CYP3A5,capillary aerocyte,0.005925357,Coad
CYS1,club cell,0.001696482,Coad
GDF11,smooth muscle cell,0.003390143,Coad
GDF11,bronchial smooth muscle cell,0.003390143,Coad
GDF11,vascular associated smooth muscle cell,0.003390143,Coad
GLB1,bronchial smooth muscle cell,0.001696511,Coad
GLP1R,pericyte cell,0.00423599,Coad
GSTM1,alveolar fibroblast,0.002543708,Coad
GSTM2,alveolar fibroblast,0.002543708,Coad
GZMB,"cd8-positive, alpha-beta t cell",0.002543708,Coad
HAMP,b cell,0.004235918,Coad
HP,mesothelial cell,0.002543708,Coad
HSPA1A,dendritic cell,0.003390201,Coad
HSPA1B,dendritic cell,0.003390201,Coad
HSPA1L,dendritic cell,0.003390201,Coad
HSPB1,type i pneumocyte,0.003390201,Coad
HSPB1,club cell,0.003390201,Coad
HSPB1,mesothelial cell,0.003390201,Coad
HSPD1,vein endothelial cell,0.001696511,Coad
HTR2B,pericyte cell,0.001696511,Coad
IFNG,plasma cell,0.001696511,Coad
IL11,lung ciliated cell,0.002543708,Coad
IL18R1,capillary aerocyte,0.000848608,Coad
IL1RL1,capillary aerocyte,0.000848608,Coad
IL23R,lung ciliated cell,0.001696482,Coad
IL32,neutrophil,0.003390143,Coad
INSRR,capillary aerocyte,0.003390143,Coad
ISYNA1,non-classical monocyte,0.003390201,Coad
KLK6,club cell,4.23E-06,Coad
KLK6,mesothelial cell,4.23E-06,Coad
KLRC4-KLRK1,cd8-positive alpha-beta t cell,0.000848608,Coad
KLRC4-KLRK1,"cd8-positive, alpha-beta t cell",0.000848608,Coad
KLRK1,cd8-positive alpha-beta t cell,0.000848608,Coad
KLRK1,"cd8-positive, alpha-beta t cell",0.000848608,Coad
KRT19,neutrophil,0.003390143,Coad
KRT34,neutrophil,0.001696482,Coad
LILRB1,nk cell,7.05E-06,Coad
LTA,dendritic cell,0.00423599,Coad
LTB,dendritic cell,0.00423599,Coad
MARCO,macrophage,0.001696482,Coad
MCAM,adventitial cell,0.002543708,Coad
MEF2D,plasmacytoid dendritic cell,0.003390201,Coad
MERTK,non-classical monocyte,0.002543708,Coad
MGP,club cell,0.000848608,Coad
MMP1,basal cell,0.003390201,Coad
MMP28,vascular associated smooth muscle cell,0.002543665,Coad
MMP3,basal cell,0.003390201,Coad
MMP8,basal cell,0.004235918,Coad
MMRN1,vein endothelial cell,0.000848608,Coad
MMRN1,endothelial cell of lymphatic vessel,0.000848608,Coad
MMRN1,lung microvascular endothelial cell,0.000848608,Coad
MUC5AC,respiratory goblet cell,0.006768679,Coad
MUC5B,respiratory goblet cell,0.001696511,Coad
NGF,adventitial cell,0.000848608,Coad
NRG1,classical monocyte,0.000848608,Coad
NRG1,intermediate monocyte,0.000848608,Coad
NTM,basophil,0.001696482,Coad
NTM,type i pneumocyte,0.001696482,Coad
PCDH15,fibroblast,0.000848608,Coad
PDAP1,capillary aerocyte,0.001696482,Coad
PDE4B,pericyte cell,0.001696511,Coad
PDE4B,fibroblast,0.001696511,Coad
POSTN,smooth muscle cell,0.000848608,Coad
PRKCB,basal cell,0.002543665,Coad
PTGDS,plasmacytoid dendritic cell,0.004235918,Coad
PTGS1,basophil,0.001696511,Coad
PTGS2,mesothelial cell,0.003390029,Coad
PTGS2,fibroblast,0.003390029,Coad
PTPRC,cd4-positive alpha-beta t cell,0.000848608,Coad
PTPRC,cd8-positive alpha-beta t cell,0.000848608,Coad
RNF5,dendritic cell,0.002543708,Coad
S100A4,serous cell of epithelium of bronchus,0.001696482,Coad
S100A5,serous cell of epithelium of bronchus,0.001696482,Coad
S100A8,classical monocyte,0.001696511,Coad
S100A9,classical monocyte,0.001696511,Coad
SERPINA3,adventitial cell,0.000848608,Coad
SFRP2,adventitial cell,0.003390201,Coad
SFTPB,nk cell,0.001696511,Coad
SFTPB,"cd8-positive, alpha-beta t cell",0.001696511,Coad
SGCD,alveolar fibroblast,0.000848608,Coad
SIGLEC9,respiratory goblet cell,0.006769138,Coad
SIGLEC9,club cell,1.97E-05,Coad
SOX6,vein endothelial cell,0.002543708,Coad
TFEB,type ii pneumocyte,0.003390201,Coad
TLR2,adventitial cell,0.002543708,Coad
TNF,dendritic cell,0.00423599,Coad
TNFRSF10C,neutrophil,0.003390086,Coad
TNXB,dendritic cell,0.002543708,Coad
TOX2,smooth muscle cell,0.001696511,Coad
TOX2,endothelial cell of artery,0.001696511,Coad
TOX2,capillary endothelial cell,0.001696511,Coad
TOX2,bronchial smooth muscle cell,0.001696511,Coad
TOX2,vascular associated smooth muscle cell,0.001696511,Coad
TP53,vascular associated smooth muscle cell,0.000848608,Coad
TPR,mesothelial cell,0.000848608,Coad
TPR,fibroblast,0.000848608,Coad
TPSG1,basophil,2.12E-06,Coad
VWF,vein endothelial cell,0.001696482,Coad
ACAN,classical monocyte,0.001696511,Congenital_Abnormality
ACCS,monocyte,0.001696511,Congenital_Abnormality
ACTN4,"cd8-positive, alpha-beta cytokine secreting effector t cell",0.000848608,Congenital_Abnormality
ADAMTS1,"cd8-positive, alpha-beta cytokine secreting effector t cell",0.001696511,Congenital_Abnormality
ADAMTS1,nk cell,0.001696511,Congenital_Abnormality
ADAMTS1,t cell,0.001696511,Congenital_Abnormality
AHR,classical monocyte,0.001696482,Congenital_Abnormality
AIRE,naive b cell,0.003390086,Congenital_Abnormality
ATF6,memory b cell,0.003390143,Congenital_Abnormality
AXL,macrophage,0.005081075,Congenital_Abnormality
BCAS2,platelet,0.003390201,Congenital_Abnormality
BLNK,"naive thymus-derived cd4-positive, alpha-beta t cell",0.002543708,Congenital_Abnormality
BNC2,nk cell,0.000848608,Congenital_Abnormality
CDH23,macrophage,0.001696511,Congenital_Abnormality
CELSR1,nk cell,0.000848608,Congenital_Abnormality
CHTOP,t cell,0.001696482,Congenital_Abnormality
COL8A1,classical monocyte,0.002543708,Congenital_Abnormality
CREB1,memory b cell,0.000848608,Congenital_Abnormality
DCLRE1C,neutrophil,0.001696511,Congenital_Abnormality
DNAAF3,monocyte,0.005080989,Congenital_Abnormality
DYRK1A,"cd4-positive, alpha-beta memory t cell",0.002543665,Congenital_Abnormality
ELMO2,memory b cell,0.002543708,Congenital_Abnormality
ENG,"cd8-positive, alpha-beta t cell",0.002543708,Congenital_Abnormality
EXT2,monocyte,0.001696511,Congenital_Abnormality
FANCC,type i nk t cell,0.002543708,Congenital_Abnormality
FNDC3B,t cell,0.001696482,Congenital_Abnormality
FOLR1,monocyte,0.002543665,Congenital_Abnormality
FOLR1,nampt neutrophil,0.002543665,Congenital_Abnormality
FOXE3,erythrocyte,0.000848608,Congenital_Abnormality
FOXH1,nampt neutrophil,0.002543708,Congenital_Abnormality
FUS,nampt neutrophil,0.001696482,Congenital_Abnormality
GLDC,plasma cell,0.001696482,Congenital_Abnormality
GNAQ,"cd8-positive, alpha-beta cytokine secreting effector t cell",0.000848608,Congenital_Abnormality
HNRNPR,"cd4-positive, alpha-beta t cell",0.002543708,Congenital_Abnormality
HSPA6,memory b cell,0.001696511,Congenital_Abnormality
IL4,type i nk t cell,0.003390143,Congenital_Abnormality
KALRN,platelet,0.001696511,Congenital_Abnormality
KATNB1,neutrophil,0.001696511,Congenital_Abnormality
KIF3A,type i nk t cell,0.001696511,Congenital_Abnormality
KLK4,memory b cell,0.002543708,Congenital_Abnormality
KRT14,neutrophil,0.003390143,Congenital_Abnormality
LAMC2,classical monocyte,0.000848608,Congenital_Abnormality
MAG,"cd8-positive, alpha-beta t cell",0.00423599,Congenital_Abnormality
MC3R,erythrocyte,0.000848608,Congenital_Abnormality
MEIS1,platelet,0.000848608,Congenital_Abnormality
NOTCH1,macrophage,0.003390201,Congenital_Abnormality
NRAS,platelet,0.002543708,Congenital_Abnormality
PDXP,t cell,0.002543708,Congenital_Abnormality
PHOX2A,monocyte,0.001696482,Congenital_Abnormality
PHOX2A,nampt neutrophil,0.001696482,Congenital_Abnormality
PIGP,"cd4-positive, alpha-beta memory t cell",0.001696511,Congenital_Abnormality
POC1A,monocyte,0.005925357,Congenital_Abnormality
PRKCA,"naive thymus-derived cd4-positive, alpha-beta t cell",0.000848608,Congenital_Abnormality
PROK2,neutrophil,0.002543708,Congenital_Abnormality
PSAP,macrophage,0.001696511,Congenital_Abnormality
PTCH1,type i nk t cell,0.000848608,Congenital_Abnormality
PTGDS,nk cell,0.00423599,Congenital_Abnormality
RECQL4,nampt neutrophil,0.002543708,Congenital_Abnormality
RER1,type i nk t cell,0.003390143,Congenital_Abnormality
RIPPLY3,"cd4-positive, alpha-beta memory t cell",0.001696511,Congenital_Abnormality
S100A6,t cell,0.002543665,Congenital_Abnormality
SLC12A3,nk cell,0.005925357,Congenital_Abnormality
SLC12A3,monocyte,0.005925357,Congenital_Abnormality
STXBP1,"cd8-positive, alpha-beta t cell",0.002543708,Congenital_Abnormality
TAP2,naive b cell,0.001696511,Congenital_Abnormality
TCF12,naive b cell,0.000848608,Congenital_Abnormality
TCTN3,"naive thymus-derived cd4-positive, alpha-beta t cell",0.000848608,Congenital_Abnormality
TELO2,"cd4-positive, alpha-beta t cell",0.001696511,Congenital_Abnormality
TGFB1,macrophage,0.001696511,Congenital_Abnormality
TP53,macrophage,0.002543708,Congenital_Abnormality
TP63,"cd8-positive, alpha-beta t cell",0.000848608,Congenital_Abnormality
TP73,erythrocyte,0.001696511,Congenital_Abnormality
TSPYL1,"cd4-positive, alpha-beta memory t cell",0.003390143,Congenital_Abnormality
TUBB,t cell,0.003390201,Congenital_Abnormality
UVRAG,neutrophil,0.001696482,Congenital_Abnormality
VAX1,classical monocyte,0.000848608,Congenital_Abnormality
ACP2,hepatocyte,0.002543708,Coronary
BAG6,cardiac endothelial cell,0.005081075,Coronary
C6orf48,cardiac endothelial cell,0.003390201,Coronary
DDB2,hepatocyte,0.002543708,Coronary
FBN2,cardiac muscle cell,0.000848608,Coronary
GPSM3,cardiac endothelial cell,0.002543708,Coronary
HLA-DMB,cardiac endothelial cell,0.005925457,Coronary
MADD,hepatocyte,0.003390201,Coronary
MEGT1,cardiac endothelial cell,0.00423599,Coronary
NR1H3,hepatocyte,0.00423599,Coronary
SKIV2L,cardiac endothelial cell,0.00423599,Coronary
SLC27A6,cardiac muscle cell,0.000848608,Coronary
SLC38A11,smooth muscle cell,0.001696511,Coronary
XXbac-BPG32J3.20,cardiac endothelial cell,0.00423599,Coronary
ADCYAP1,mast cell,0.003390086,Cystic_Fibrosis
ANK1,pancreatic delta cell,0.003390201,Cystic_Fibrosis
ATN1,b cell,0.005925457,Cystic_Fibrosis
CCL3,endothelial cell,0.005080903,Cystic_Fibrosis
CCL3,nk cell,0.005080903,Cystic_Fibrosis
CELA3A,pancreatic acinar cell,4.23E-06,Cystic_Fibrosis
CELA3B,pancreatic acinar cell,4.23E-06,Cystic_Fibrosis
CPA4,pancreatic acinar cell,0.001696511,Cystic_Fibrosis
EPHB2,pancreatic acinar cell,0.003390201,Cystic_Fibrosis
FEV,pancreatic stellate cell,0.004235918,Cystic_Fibrosis
GPRC6A,pancreatic stellate cell,0.003390143,Cystic_Fibrosis
HBA1,pancreatic acinar cell,0.004235918,Cystic_Fibrosis
HBA2,pancreatic acinar cell,0.004235918,Cystic_Fibrosis
HSPG2,pancreatic acinar cell,4.23E-06,Cystic_Fibrosis
KAT5,nk cell,0.003390201,Cystic_Fibrosis
KHDRBS1,endothelial cell,0.003390201,Cystic_Fibrosis
MARCKSL1,endothelial cell,0.003390201,Cystic_Fibrosis
MFAP1,b cell,0.003390143,Cystic_Fibrosis
MMP7,pancreatic ductal cell,0.000848608,Cystic_Fibrosis
POLDIP2,pancreatic ductal cell,0.000848608,Cystic_Fibrosis
REG1A,pancreatic acinar cell,0.002543708,Cystic_Fibrosis
SCNN1B,pancreatic ductal cell,0.001696511,Cystic_Fibrosis
SCNN1G,pancreatic ductal cell,0.000848608,Cystic_Fibrosis
SERPINA1,pancreatic ductal cell,0.003390201,Cystic_Fibrosis
SERPINA3,pancreatic ductal cell,0.001696511,Cystic_Fibrosis
SERPINA6,pancreatic ductal cell,0.002543708,Cystic_Fibrosis
SERPINE1,pancreatic beta cell,0.002543708,Cystic_Fibrosis
SFTPB,nk cell,0.001696511,Cystic_Fibrosis
SLC46A1,pancreatic ductal cell,0.000848608,Cystic_Fibrosis
TAP1,b cell,0.00423599,Cystic_Fibrosis
TAP2,b cell,0.006769138,Cystic_Fibrosis
TBPL1,pancreatic stellate cell,0.000848608,Cystic_Fibrosis
USP10,fibroblast,0.001696511,Cystic_Fibrosis
VTN,pancreatic ductal cell,0.000848608,Cystic_Fibrosis
ADRA1A,hepatocyte,0.001696482,Diabetes_Mellitus
AGER,macrophage,7.05E-06,Diabetes_Mellitus
ALOX12,macrophage,0.002543708,Diabetes_Mellitus
ARTN,erythrocyte,0.000848608,Diabetes_Mellitus
BRD2,macrophage,0.001696511,Diabetes_Mellitus
C2,macrophage,1.06E-05,Diabetes_Mellitus
C4A,macrophage,1.48E-05,Diabetes_Mellitus
C4B,macrophage,1.06E-05,Diabetes_Mellitus
CFB,macrophage,1.48E-05,Diabetes_Mellitus
CLEC1B,monocyte,0.000848608,Diabetes_Mellitus
COL11A2,macrophage,0.002543708,Diabetes_Mellitus
COL1A1,fibroblast,0.003390143,Diabetes_Mellitus
CPB2,hepatocyte,0.001696511,Diabetes_Mellitus
CPSF4,hepatocyte,0.001696511,Diabetes_Mellitus
CRTC2,monocyte,0.001696511,Diabetes_Mellitus
CYP21A2,macrophage,1.48E-05,Diabetes_Mellitus
CYP2C19,hepatocyte,0.001696511,Diabetes_Mellitus
CYP2E1,hepatocyte,0.000848608,Diabetes_Mellitus
DBH,hepatocyte,0.002543708,Diabetes_Mellitus
GNLY,nk cell,0.001696511,Diabetes_Mellitus
GPRC6A,fibroblast,0.000848608,Diabetes_Mellitus
HLA-DMA,macrophage,0.001696511,Diabetes_Mellitus
HLA-DMB,macrophage,0.001696511,Diabetes_Mellitus
HLA-DPB1,macrophage,0.001696511,Diabetes_Mellitus
HLA-DQA1,macrophage,0.001696511,Diabetes_Mellitus
HLA-DQA1,liver dendritic cell,0.001696511,Diabetes_Mellitus
HLA-DQA2,macrophage,1.48E-05,Diabetes_Mellitus
HLA-DQA2,liver dendritic cell,2.01E-08,Diabetes_Mellitus
HLA-DQA2,plasma cell,0.005925457,Diabetes_Mellitus
HLA-DQB1,macrophage,0.001696511,Diabetes_Mellitus
HLA-DQB1,liver dendritic cell,0.001696511,Diabetes_Mellitus
HLA-DQB2,macrophage,1.06E-05,Diabetes_Mellitus
HLA-DQB2,liver dendritic cell,1.15E-08,Diabetes_Mellitus
HLA-DQB2,plasma cell,0.005081075,Diabetes_Mellitus
HLA-DRB1,macrophage,0.001696511,Diabetes_Mellitus
HLA-DRB1,liver dendritic cell,0.001696511,Diabetes_Mellitus
HSPA1A,macrophage,0.002543708,Diabetes_Mellitus
HSPA1B,macrophage,0.002543708,Diabetes_Mellitus
IBSP,macrophage,0.000848608,Diabetes_Mellitus
IL1R1,endothelial cell,0.002543708,Diabetes_Mellitus
KLRC4-KLRK1,nk cell,0.002543708,Diabetes_Mellitus
KLRK1,nk cell,0.001696511,Diabetes_Mellitus
LCP1,hepatocyte,0.001696511,Diabetes_Mellitus
MARK4,endothelial cell of hepatic sinusoid,0.005925357,Diabetes_Mellitus
MMP9,macrophage,0.002543708,Diabetes_Mellitus
MMRN1,endothelial cell of hepatic sinusoid,0.000848608,Diabetes_Mellitus
MTG1,hepatocyte,0.001696511,Diabetes_Mellitus
NAPSA,liver dendritic cell,0.001696511,Diabetes_Mellitus
NAPSA,endothelial cell,0.001696511,Diabetes_Mellitus
NSFL1C,monocyte,0.001696511,Diabetes_Mellitus
OLR1,macrophage,0.003390201,Diabetes_Mellitus
PADI1,neutrophil,0.001696511,Diabetes_Mellitus
PADI4,neutrophil,0.001696511,Diabetes_Mellitus
PAOX,hepatocyte,0.001696511,Diabetes_Mellitus
PCIF1,macrophage,0.002543708,Diabetes_Mellitus
PDAP1,hepatocyte,0.001696511,Diabetes_Mellitus
PDX1,liver dendritic cell,0.000848608,Diabetes_Mellitus
PDX1,endothelial cell,0.000848608,Diabetes_Mellitus
PLA2G7,endothelial cell of hepatic sinusoid,0.002543708,Diabetes_Mellitus
POLD1,liver dendritic cell,0.001696511,Diabetes_Mellitus
POLD1,endothelial cell,0.001696511,Diabetes_Mellitus
PTGDR2,plasma cell,0.001696511,Diabetes_Mellitus
RETN,endothelial cell of hepatic sinusoid,0.002543708,Diabetes_Mellitus
RFX6,fibroblast,0.001696511,Diabetes_Mellitus
RHD,erythrocyte,2.12E-06,Diabetes_Mellitus
RMDN2,monocyte,0.000848608,Diabetes_Mellitus
RNASEK,macrophage,0.002543708,Diabetes_Mellitus
SARDH,hepatocyte,0.002543708,Diabetes_Mellitus
SELENBP1,endothelial cell,0.002543708,Diabetes_Mellitus
SEMA5B,monocyte,0.002543708,Diabetes_Mellitus
SFTPB,nk cell,0.001696511,Diabetes_Mellitus
SGCA,fibroblast,0.002543665,Diabetes_Mellitus
SIRPA,monocyte,0.000848608,Diabetes_Mellitus
SLC16A11,macrophage,0.002543708,Diabetes_Mellitus
SLC6A2,hepatocyte,0.001696511,Diabetes_Mellitus
SNCA,endothelial cell of hepatic sinusoid,0.000848608,Diabetes_Mellitus
SPP1,macrophage,0.000848608,Diabetes_Mellitus
TAP1,macrophage,0.002543708,Diabetes_Mellitus
TAP1,liver dendritic cell,0.002543708,Diabetes_Mellitus
TAP1,plasma cell,0.002543708,Diabetes_Mellitus
TAP2,macrophage,0.003390201,Diabetes_Mellitus
TAP2,liver dendritic cell,4.23E-06,Diabetes_Mellitus
TAP2,plasma cell,0.003390201,Diabetes_Mellitus
TAPBP,macrophage,0.002543708,Diabetes_Mellitus
TERT,intrahepatic cholangiocyte,0.001696482,Diabetes_Mellitus
TGFBI,macrophage,0.000848608,Diabetes_Mellitus
WASF2,endothelial cell of hepatic sinusoid,0.001696511,Diabetes_Mellitus
WDR36,t cell,0.000848608,Diabetes_Mellitus
AGER,dendritic cell,0.002543708,Emphysema
AGT,bronchial smooth muscle cell,0.002543665,Emphysema
AGT,vascular associated smooth muscle cell,0.002543665,Emphysema
ANGPT1,alveolar fibroblast,0.000848608,Emphysema
APOM,dendritic cell,0.003390201,Emphysema
C3,b cell,0.002543708,Emphysema
CCL5,bronchial vessel endothelial cell,0.003390201,Emphysema
CCL5,vein endothelial cell,4.23E-06,Emphysema
CCL5,lung microvascular endothelial cell,0.003390201,Emphysema
CD207,dendritic cell,0.003390201,Emphysema
CEACAM3,neutrophil,0.000848608,Emphysema
CEACAM5,neutrophil,0.003390201,Emphysema
CEACAM5,macrophage,0.003390201,Emphysema
CEACAM7,macrophage,0.002543708,Emphysema
CHI3L1,macrophage,0.002543708,Emphysema
CRP,nk cell,0.003390201,Emphysema
CRP,dendritic cell,0.003390201,Emphysema
CRP,"cd8-positive, alpha-beta t cell",0.003390201,Emphysema
CTSE,b cell,0.001696511,Emphysema
CTSE,club cell,0.001696511,Emphysema
GLP1R,pericyte cell,0.00423599,Emphysema
GSTM1,alveolar fibroblast,0.002543708,Emphysema
GSTM2,alveolar fibroblast,0.002543708,Emphysema
GZMB,"cd8-positive, alpha-beta t cell",0.002543708,Emphysema
HLA-DQB1,dendritic cell,2.12E-06,Emphysema
IFNG,plasma cell,0.001696511,Emphysema
IL18R1,capillary aerocyte,0.000848608,Emphysema
ISYNA1,non-classical monocyte,0.003390201,Emphysema
LILRB1,nk cell,7.05E-06,Emphysema
LMAN2L,club cell,0.006769023,Emphysema
MMP1,basal cell,0.003390201,Emphysema
MMP10,basal cell,0.002543708,Emphysema
MMP28,vascular associated smooth muscle cell,0.002543665,Emphysema
PDAP1,capillary aerocyte,0.001696482,Emphysema
PPT2,dendritic cell,0.003390201,Emphysema
PPT2-EGFL8,dendritic cell,0.003390201,Emphysema
RNF5,dendritic cell,0.002543708,Emphysema
S100A4,serous cell of epithelium of bronchus,0.001696482,Emphysema
S100A8,classical monocyte,0.001696511,Emphysema
SERPINA3,adventitial cell,0.000848608,Emphysema
SFTPB,nk cell,0.001696511,Emphysema
