disease_Gene,Cell type,P-value,Disease
C2,Follicular B cell,0.015582391,Adenocarcinoma_Of_Lung
CFB,Cancer stem cell,0.025091825,Adenocarcinoma_Of_Lung
CFB,Secretory cell,5.57E-12,Adenocarcinoma_Of_Lung
CFB,Alveolar cell Type 1,0.005508274,Adenocarcinoma_Of_Lung
CFB,Stem cell,0.014259436,Adenocarcinoma_Of_Lung
CFB,Alveolar cell,0.002206905,Adenocarcinoma_Of_Lung
CFB,Alveolar cell Type 2,0.006606339,Adenocarcinoma_Of_Lung
CFB,Alveolar epithelial cell Type 1,0.003308559,Adenocarcinoma_Of_Lung
CFB,Follicular B cell,0.015347986,Adenocarcinoma_Of_Lung
STK19,Cancer stem cell,0.02432883,Adenocarcinoma_Of_Lung
STK19,Secretory cell,4.43E-12,Adenocarcinoma_Of_Lung
STK19,Alveolar cell Type 1,0.005339152,Adenocarcinoma_Of_Lung
STK19,Stem cell,0.013823498,Adenocarcinoma_Of_Lung
STK19,Alveolar cell,0.002139037,Adenocarcinoma_Of_Lung
STK19,Alveolar cell Type 2,0.006403611,Adenocarcinoma_Of_Lung
STK19,Alveolar epithelial cell Type 1,0.003206866,Adenocarcinoma_Of_Lung
STK19,Follicular B cell,0.01487902,Adenocarcinoma_Of_Lung
CYP21A2,Cancer stem cell,0.022036417,Adenocarcinoma_Of_Lung
CYP21A2,Secretory cell,2.24E-10,Adenocarcinoma_Of_Lung
CYP21A2,Alveolar cell Type 1,0.004831646,Adenocarcinoma_Of_Lung
CYP21A2,Stem cell,0.012514615,Adenocarcinoma_Of_Lung
CYP21A2,Alveolar cell,0.001935418,Adenocarcinoma_Of_Lung
CYP21A2,Myeloid cell,0.006757876,Adenocarcinoma_Of_Lung
CYP21A2,Alveolar cell Type 2,0.005795219,Adenocarcinoma_Of_Lung
CYP21A2,Alveolar epithelial cell Type 1,0.002901746,Adenocarcinoma_Of_Lung
CYP21A2,Follicular B cell,0.013470879,Adenocarcinoma_Of_Lung
TNXB,Cancer stem cell,0.022801127,Adenocarcinoma_Of_Lung
TNXB,Secretory cell,2.77E-10,Adenocarcinoma_Of_Lung
TNXB,Alveolar cell Type 1,0.005000838,Adenocarcinoma_Of_Lung
TNXB,Stem cell,0.012951087,Adenocarcinoma_Of_Lung
TNXB,Alveolar cell,0.002003293,Adenocarcinoma_Of_Lung
TNXB,Myeloid cell,0.006994282,Adenocarcinoma_Of_Lung
TNXB,Alveolar cell Type 2,0.005998051,Adenocarcinoma_Of_Lung
TNXB,Alveolar epithelial cell Type 1,0.00300346,Adenocarcinoma_Of_Lung
TNXB,Follicular B cell,0.013940467,Adenocarcinoma_Of_Lung
AGER,Cancer stem cell,0.023182878,Adenocarcinoma_Of_Lung
AGER,Secretory cell,3.11E-12,Adenocarcinoma_Of_Lung
AGER,Alveolar cell Type 1,0.005085339,Adenocarcinoma_Of_Lung
AGER,Stem cell,0.013169034,Adenocarcinoma_Of_Lung
AGER,Alveolar cell,0.002037195,Adenocarcinoma_Of_Lung
AGER,Myeloid cell,0.007112346,Adenocarcinoma_Of_Lung
AGER,Alveolar cell Type 2,0.00609935,Adenocarcinoma_Of_Lung
AGER,Alveolar epithelial cell Type 1,0.003054262,Adenocarcinoma_Of_Lung
AGER,Follicular B cell,0.014174944,Adenocarcinoma_Of_Lung
NOTCH4,Secretory cell,3.11E-12,Adenocarcinoma_Of_Lung
NOTCH4,Alveolar cell Type 1,0.005085339,Adenocarcinoma_Of_Lung
NOTCH4,Alveolar cell,0.002037195,Adenocarcinoma_Of_Lung
NOTCH4,Myeloid cell,0.007112346,Adenocarcinoma_Of_Lung
NOTCH4,Alveolar cell Type 2,0.00609935,Adenocarcinoma_Of_Lung
NOTCH4,Alveolar epithelial cell Type 1,0.003054262,Adenocarcinoma_Of_Lung
NOTCH4,Follicular B cell,0.014174944,Adenocarcinoma_Of_Lung
BTNL2,Secretory cell,1.12E-10,Adenocarcinoma_Of_Lung
BTNL2,Alveolar cell Type 1,0.004323933,Adenocarcinoma_Of_Lung
BTNL2,Alveolar cell,0.001731778,Adenocarcinoma_Of_Lung
BTNL2,Alveolar cell Type 2,0.005186517,Adenocarcinoma_Of_Lung
BTNL2,Alveolar epithelial cell Type 1,0.002596564,Adenocarcinoma_Of_Lung
BTNL2,Follicular B cell,0.012060868,Adenocarcinoma_Of_Lung
HLA-DQB1,Secretory cell,3.29E-11,Adenocarcinoma_Of_Lung
HLA-DQB1,Alveolar cell Type 1,0.003562096,Adenocarcinoma_Of_Lung
HLA-DQB1,Alveolar cell,0.001426327,Adenocarcinoma_Of_Lung
HLA-DQB1,Alveolar cell Type 2,0.004273027,Adenocarcinoma_Of_Lung
HLA-DQB1,Alveolar epithelial cell Type 1,0.002138746,Adenocarcinoma_Of_Lung
HLA-DQB1,Follicular B cell,0.00994268,Adenocarcinoma_Of_Lung
HLA-DQA1,Secretory cell,3.82E-11,Adenocarcinoma_Of_Lung
HLA-DQA1,Alveolar cell Type 1,0.003646784,Adenocarcinoma_Of_Lung
HLA-DQA1,Alveolar cell,0.001460275,Adenocarcinoma_Of_Lung
HLA-DQA1,Alveolar cell Type 2,0.00437458,Adenocarcinoma_Of_Lung
HLA-DQA1,Alveolar epithelial cell Type 1,0.002189632,Adenocarcinoma_Of_Lung
HLA-DQA1,Follicular B cell,0.010178287,Adenocarcinoma_Of_Lung
HLA-DQA2,SLC16A7+ cell,0.045027066,Adenocarcinoma_Of_Lung
HLA-DQA2,Secretory cell,2.41E-11,Adenocarcinoma_Of_Lung
HLA-DQA2,Alveolar cell Type 1,0.003392703,Adenocarcinoma_Of_Lung
HLA-DQA2,Alveolar cell,0.00135843,Adenocarcinoma_Of_Lung
HLA-DQA2,Alveolar cell Type 2,0.004069895,Adenocarcinoma_Of_Lung
HLA-DQA2,Alveolar epithelial cell Type 1,0.00203697,Adenocarcinoma_Of_Lung
HLA-DQA2,Follicular B cell,0.009471308,Adenocarcinoma_Of_Lung
SPDEF,FOXN4+ cell,0.008227342,Adenocarcinoma_Of_Lung
SRPK1,Idiopathic pulmonary fibrosis cell,0.000764201,Adenocarcinoma_Of_Lung
MAPK14,Idiopathic pulmonary fibrosis cell,0.000509528,Adenocarcinoma_Of_Lung
TAF8,SLC16A7+ cell,0.030715782,Adenocarcinoma_Of_Lung
TAF8,Alveolar pneumocyte Type II,0.000950901,Adenocarcinoma_Of_Lung
FOXP4,Alveolar pneumocyte Type II,0.000203829,Adenocarcinoma_Of_Lung
TFEB,Alveolar pneumocyte Type II,0.000407619,Adenocarcinoma_Of_Lung
SRF,Cancer cell,0.008055942,Adenocarcinoma_Of_Lung
PTK7,Cancer cell,0.008628804,Adenocarcinoma_Of_Lung
VEGFA,Ciliated cell,0.025959296,Adenocarcinoma_Of_Lung
FOXO3,Ionocyte cell,0.020561227,Adenocarcinoma_Of_Lung
FOXO3,Mast cell,0.002240401,Adenocarcinoma_Of_Lung
ROS1,Ciliated cell,0.036151525,Adenocarcinoma_Of_Lung
GOPC,Ciliated cell,0.046239153,Adenocarcinoma_Of_Lung
RSPO3,SLC16A7+ cell,0.001170859,Adenocarcinoma_Of_Lung
ARG1,M2 macrophage,0.001731631,Adenocarcinoma_Of_Lung
ARG1,Ionocyte cell,0.015460767,Adenocarcinoma_Of_Lung
TCF21,Fibroblast,0.003646784,Adenocarcinoma_Of_Lung
ARID1B,SLC16A7+ cell,0.019896106,Adenocarcinoma_Of_Lung
LPA,Stem cell,0.000883032,Adenocarcinoma_Of_Lung
LPA,Adenocarcinoma stem-like cell,0.000815127,Adenocarcinoma_Of_Lung
TMEM106B,SLC16A7+ cell,0.019896106,Adenocarcinoma_Of_Lung
AGR2,Ciliated cell,0.02082139,Adenocarcinoma_Of_Lung
IGF2BP3,Basal cell,0.012183227,Adenocarcinoma_Of_Lung
IGF2BP3,Alveolar macrophage,0.001663498,Adenocarcinoma_Of_Lung
HOXA3,Neuroendocrine cell,9.42E-08,Adenocarcinoma_Of_Lung
HOXA3,Brush cell (Tuft cell),8.75E-08,Adenocarcinoma_Of_Lung
HOXA4,Neuroendocrine cell,9.42E-08,Adenocarcinoma_Of_Lung
HOXA4,Brush cell (Tuft cell),8.75E-08,Adenocarcinoma_Of_Lung
HOXA5,Neuroendocrine cell,9.42E-08,Adenocarcinoma_Of_Lung
HOXA5,Brush cell (Tuft cell),8.75E-08,Adenocarcinoma_Of_Lung
HOXA9,Neuroendocrine cell,2.93E-05,Adenocarcinoma_Of_Lung
HOXA9,Brush cell (Tuft cell),2.79E-05,Adenocarcinoma_Of_Lung
HOXA10,Neuroendocrine cell,2.93E-05,Adenocarcinoma_Of_Lung
HOXA10,Brush cell (Tuft cell),2.79E-05,Adenocarcinoma_Of_Lung
HOXA11,Neuroendocrine cell,2.93E-05,Adenocarcinoma_Of_Lung
HOXA11,Brush cell (Tuft cell),2.79E-05,Adenocarcinoma_Of_Lung
HOXA13,Neuroendocrine cell,2.93E-05,Adenocarcinoma_Of_Lung
HOXA13,Brush cell (Tuft cell),2.79E-05,Adenocarcinoma_Of_Lung
PPP1R17,Ionocyte cell,0.020561227,Adenocarcinoma_Of_Lung
EGFR,Cancer cell,0.001154764,Adenocarcinoma_Of_Lung
EGFR,T helper(Th) cell,0.000101918,Adenocarcinoma_Of_Lung
HIP1,Immune cell,0.011355065,Adenocarcinoma_Of_Lung
HSPB1,Immune cell,0.009201403,Adenocarcinoma_Of_Lung
HSPB1,Mesothelial cell,0.000866036,Adenocarcinoma_Of_Lung
YWHAG,Immune cell,0.009201248,Adenocarcinoma_Of_Lung
YWHAG,Mesothelial cell,0.000866021,Adenocarcinoma_Of_Lung
ABCB1,Ciliated cell,0.015657175,Adenocarcinoma_Of_Lung
AZGP1,Neuroendocrine cell,0.034662428,Adenocarcinoma_Of_Lung
AZGP1,Brush cell (Tuft cell),0.03384092,Adenocarcinoma_Of_Lung
COPS6,Neuroendocrine cell,0.030566443,Adenocarcinoma_Of_Lung
COPS6,Brush cell (Tuft cell),0.029840505,Adenocarcinoma_Of_Lung
SLC12A9,Eosinophil,0.001934991,Adenocarcinoma_Of_Lung
CUX1,Basal cell,0.025927444,Adenocarcinoma_Of_Lung
MET,Cancer cell,0.00173166,Adenocarcinoma_Of_Lung
MET,Cancer stem cell,0.001171636,Adenocarcinoma_Of_Lung
EPHB6,T cell,6.47E-05,Adenocarcinoma_Of_Lung
GSTK1,Basal cell,0.015637071,Adenocarcinoma_Of_Lung
EPHA1,Basal cell,0.032727169,Adenocarcinoma_Of_Lung
ACTR3B,SLC16A7+ cell,0.019896106,Adenocarcinoma_Of_Lung
PRSS55,Cancer cell,0.005760499,Adenocarcinoma_Of_Lung
PRSS55,B cell,0.003392098,Adenocarcinoma_Of_Lung
PRSS55,Immune cell,0.005422475,Adenocarcinoma_Of_Lung
SOX7,B cell,0.003053433,Adenocarcinoma_Of_Lung
SOX7,Immune cell,0.004881595,Adenocarcinoma_Of_Lung
GATA4,B cell,0.004745794,Adenocarcinoma_Of_Lung
GATA4,Immune cell,0.007583351,Adenocarcinoma_Of_Lung
MSR1,Macrophage,0.002614245,Adenocarcinoma_Of_Lung
MSR1,Monocyte,0.001392426,Adenocarcinoma_Of_Lung
MSR1,M2 macrophage,0.001154744,Adenocarcinoma_Of_Lung
MSR1,Alveolar macrophage,0.000475572,Adenocarcinoma_Of_Lung
MSR1,Immune cell,0.001086855,Adenocarcinoma_Of_Lung
LPL,Macrophage,0.002614245,Adenocarcinoma_Of_Lung
PEBP4,SLC16A7+ cell,0.026672787,Adenocarcinoma_Of_Lung
ADRA1A,CD8+ T cell,0.001782561,Adenocarcinoma_Of_Lung
PTK2B,CD8+ T cell,0.001782561,Adenocarcinoma_Of_Lung
CLU,CD8+ T cell,0.001782531,Adenocarcinoma_Of_Lung
IDO1,T cell,0.004002912,Adenocarcinoma_Of_Lung
IKBKB,Ciliated cell,0.01565691,Adenocarcinoma_Of_Lung
DKK4,Ciliated cell,0.020821741,Adenocarcinoma_Of_Lung
SDCBP,Ionocyte cell,0.015460767,Adenocarcinoma_Of_Lung
FABP4,Macrophage,0.006522859,Adenocarcinoma_Of_Lung
FABP4,Monocyte,0.003477461,Adenocarcinoma_Of_Lung
FABP4,Alveolar macrophage,0.001188515,Adenocarcinoma_Of_Lung
SDC2,Ionocyte cell,0.015460767,Adenocarcinoma_Of_Lung
DEPTOR,Myofibroblast,0.001629618,Adenocarcinoma_Of_Lung
MTBP,Ionocyte cell,0.010333834,Adenocarcinoma_Of_Lung
SLURP1,Secretory cell,0.012617651,Adenocarcinoma_Of_Lung
SLURP1,Ciliated cell,0.046239921,Adenocarcinoma_Of_Lung
LYNX1,Secretory cell,0.012617651,Adenocarcinoma_Of_Lung
LYNX1,Ciliated cell,0.046239921,Adenocarcinoma_Of_Lung
JAK2,SLC16A7+ cell,0.039396687,Adenocarcinoma_Of_Lung
CD274,Myeloid dendritic cell,0.000950933,Adenocarcinoma_Of_Lung
CD274,Epithelioid macrophage,0.000203829,Adenocarcinoma_Of_Lung
PDCD1LG2,Myeloid dendritic cell,0.001900995,Adenocarcinoma_Of_Lung
PDCD1LG2,Epithelioid macrophage,0.000407623,Adenocarcinoma_Of_Lung
BAG1,CD8+ T cell,0.003562035,Adenocarcinoma_Of_Lung
BAG1,Airway secretory cell,0.000509511,Adenocarcinoma_Of_Lung
BAG1,Basal cell,0.010452338,Adenocarcinoma_Of_Lung
AQP3,CD8+ T cell,0.003561975,Adenocarcinoma_Of_Lung
AQP3,Airway secretory cell,0.000509502,Adenocarcinoma_Of_Lung
AQP3,Basal cell,0.010452162,Adenocarcinoma_Of_Lung
RECK,Ciliated cell,0.046241459,Adenocarcinoma_Of_Lung
ALDH1A1,Cancer stem cell,0.001171636,Adenocarcinoma_Of_Lung
ALDH1A1,Stem cell,0.000662342,Adenocarcinoma_Of_Lung
ALDH1A1,Mesenchymal stem cell,0.000407629,Adenocarcinoma_Of_Lung
TRPM6,SLC16A7+ cell,0.039396687,Adenocarcinoma_Of_Lung
GOLM1,Ionocyte cell,0.010333834,Adenocarcinoma_Of_Lung
S1PR3,SLC16A7+ cell,0.039396687,Adenocarcinoma_Of_Lung
TLR4,M1 macrophage,0.000424665,Adenocarcinoma_Of_Lung
GSN,Fibroblast,0.003646784,Adenocarcinoma_Of_Lung
LHX6,Fibroblast,0.003646845,Adenocarcinoma_Of_Lung
FPGS,Ciliated cell,0.036153337,Adenocarcinoma_Of_Lung
AK1,Ciliated cell,0.041210623,Adenocarcinoma_Of_Lung
SET,Ciliated cell,0.046239153,Adenocarcinoma_Of_Lung
COL5A1,Macrophage,0.001307967,Adenocarcinoma_Of_Lung
COL5A1,Monocyte,0.00069645,Adenocarcinoma_Of_Lung
MRPL41,SLC16A7+ cell,0.000849068,Adenocarcinoma_Of_Lung
CAMK1D,SLC16A7+ cell,0.039396687,Adenocarcinoma_Of_Lung
ITGB1,Pan-endothelial cell,0.001222535,Adenocarcinoma_Of_Lung
ITGB1,Mesenchymal stem cell,0.000407623,Adenocarcinoma_Of_Lung
RET,Cancer cell,0.004035808,Adenocarcinoma_Of_Lung
RET,Ionocyte cell,0.035703335,Adenocarcinoma_Of_Lung
ALOX5,Mast cell,0.006149292,Adenocarcinoma_Of_Lung
CDH23,SLC16A7+ cell,0.039396687,Adenocarcinoma_Of_Lung
KCNMA1,Ionocyte cell,0.025634919,Adenocarcinoma_Of_Lung
SFTPD,Epithelial cell,0.022322146,Adenocarcinoma_Of_Lung
SFTPD,Alveolar epithelial cell Type 2,0.001358119,Adenocarcinoma_Of_Lung
EIF5AL1,Lung cell,0.001018728,Adenocarcinoma_Of_Lung
SFTPA2,Epithelial cell,0.018174579,Adenocarcinoma_Of_Lung
SFTPA2,Alveolar type II (ATII) cell,0.001324166,Adenocarcinoma_Of_Lung
SFTPA2,Lung cell,4.50E-07,Adenocarcinoma_Of_Lung
SFTPA2,Alveolar epithelial cell Type 2,0.001103584,Adenocarcinoma_Of_Lung
SFTPA1,Epithelial cell,0.018174579,Adenocarcinoma_Of_Lung
SFTPA1,Alveolar type II (ATII) cell,0.001324166,Adenocarcinoma_Of_Lung
SFTPA1,Lung cell,4.50E-07,Adenocarcinoma_Of_Lung
SFTPA1,Alveolar epithelial cell Type 2,0.001103584,Adenocarcinoma_Of_Lung
ACTA2,Epithelial cell,0.008429913,Adenocarcinoma_Of_Lung
IFIT2,Epithelial cell,0.00422377,Adenocarcinoma_Of_Lung
HELLS,FOXN4+ cell,0.00549235,Adenocarcinoma_Of_Lung
MGMT,Ciliated cell,0.025957988,Adenocarcinoma_Of_Lung
SIRT3,Epithelial cell,0.027824388,Adenocarcinoma_Of_Lung
SIRT3,Dendritic cell,0.007785223,Adenocarcinoma_Of_Lung
SIRT3,Neutrophil,0.006097697,Adenocarcinoma_Of_Lung
SIRT3,Secretory cell,0.000366927,Adenocarcinoma_Of_Lung
SIRT3,FOXN4+ cell,0.0271622,Adenocarcinoma_Of_Lung
SIRT3,Plasmacytoid dendritic cell(pDC),0.003391926,Adenocarcinoma_Of_Lung
IFITM1,Epithelial cell,0.0427989,Adenocarcinoma_Of_Lung
IFITM1,Dendritic cell,0.012041942,Adenocarcinoma_Of_Lung
IFITM1,Neutrophil,0.009436126,Adenocarcinoma_Of_Lung
IFITM1,Secretory cell,0.000888949,Adenocarcinoma_Of_Lung
IFITM1,FOXN4+ cell,0.041788069,Adenocarcinoma_Of_Lung
IFITM1,Plasmacytoid dendritic cell(pDC),0.00525289,Adenocarcinoma_Of_Lung
IFITM3,Epithelial cell,0.045496361,Adenocarcinoma_Of_Lung
IFITM3,Dendritic cell,0.012813843,Adenocarcinoma_Of_Lung
IFITM3,Neutrophil,0.010041841,Adenocarcinoma_Of_Lung
IFITM3,Secretory cell,0.001007508,Adenocarcinoma_Of_Lung
IFITM3,FOXN4+ cell,0.044423312,Adenocarcinoma_Of_Lung
IFITM3,Plasmacytoid dendritic cell(pDC),0.005590837,Adenocarcinoma_Of_Lung
CD151,FOXN4+ cell,0.023136373,Adenocarcinoma_Of_Lung
PKP3,Epithelial cell,0.04009248,Adenocarcinoma_Of_Lung
PKP3,Dendritic cell,0.011269057,Adenocarcinoma_Of_Lung
PKP3,Neutrophil,0.008829741,Adenocarcinoma_Of_Lung
PKP3,Secretory cell,0.000777553,Adenocarcinoma_Of_Lung
PKP3,FOXN4+ cell,0.039144255,Adenocarcinoma_Of_Lung
PKP3,Plasmacytoid dendritic cell(pDC),0.004914661,Adenocarcinoma_Of_Lung
MUC5AC,Epithelial cell,0.012617651,Adenocarcinoma_Of_Lung
MUC5AC,Idiopathic pulmonary fibrosis cell,0.002290853,Adenocarcinoma_Of_Lung
MUC5AC,Airway secretory cell,0.000764136,Adenocarcinoma_Of_Lung
MUC5AC,Secretory cell,0.012617437,Adenocarcinoma_Of_Lung
MUC5AC,Club cell (Clara cell),0.001222369,Adenocarcinoma_Of_Lung
MUC5AC,Goblet cell,0.000916901,Adenocarcinoma_Of_Lung
MUC5B,Epithelial cell,0.00422377,Adenocarcinoma_Of_Lung
MUC5B,Idiopathic pulmonary fibrosis cell,0.000764214,Adenocarcinoma_Of_Lung
MUC5B,Airway secretory cell,0.000254781,Adenocarcinoma_Of_Lung
MUC5B,Secretory cell,0.004223698,Adenocarcinoma_Of_Lung
MUC5B,Club cell (Clara cell),0.000407629,Adenocarcinoma_Of_Lung
MUC5B,Goblet cell,0.000305732,Adenocarcinoma_Of_Lung
MUC6,FOXN4+ cell,0.016386719,Adenocarcinoma_Of_Lung
SCT,Dendritic cell,0.009722451,Adenocarcinoma_Of_Lung
SCT,Plasmacytoid dendritic cell(pDC),0.004238288,Adenocarcinoma_Of_Lung
STK33,Ionocyte cell,0.045669651,Adenocarcinoma_Of_Lung
RPL27A,Ionocyte cell,0.001426351,Adenocarcinoma_Of_Lung
WEE1,Ionocyte cell,0.035704529,Adenocarcinoma_Of_Lung
EIF4G2,Ciliated cell,0.025958424,Adenocarcinoma_Of_Lung
DKK3,Fibroblast,0.001460325,Adenocarcinoma_Of_Lung
LDHA,Lobe cell,0.000237796,Adenocarcinoma_Of_Lung
LDHC,Lobe cell,0.000237796,Adenocarcinoma_Of_Lung
TSG101,Lobe cell,0.000271765,Adenocarcinoma_Of_Lung
TRAF6,Secretory cell,0.001409862,Adenocarcinoma_Of_Lung
MDK,Alveolar type 2-like cell,0.0003397,Adenocarcinoma_Of_Lung
NR1H3,FOXN4+ cell,0.027164933,Adenocarcinoma_Of_Lung
NR1H3,Mast cell,0.011153243,Adenocarcinoma_Of_Lung
NR1H3,Alveolar type 2-like cell,0.000679342,Adenocarcinoma_Of_Lung
TNKS1BP1,Monocyte,0.004171607,Adenocarcinoma_Of_Lung
TIMM10,Monocyte,0.005558366,Adenocarcinoma_Of_Lung
FAM111B,SLC16A7+ cell,0.039396687,Adenocarcinoma_Of_Lung
FAM111B,Secretory cell,0.002817761,Adenocarcinoma_Of_Lung
FEN1,Ciliated cell,0.036153942,Adenocarcinoma_Of_Lung
SCGB2A2,Ciliated cell,0.015657175,Adenocarcinoma_Of_Lung
SCGB1A1,Ciliated cell,0.031069983,Adenocarcinoma_Of_Lung
SLC3A2,Neuroendocrine cell,0.016789046,Adenocarcinoma_Of_Lung
SLC3A2,Brush cell (Tuft cell),0.016387548,Adenocarcinoma_Of_Lung
TM7SF2,OxPhos monocyte,0.000577426,Adenocarcinoma_Of_Lung
RELA,OxPhos monocyte,0.000679307,Adenocarcinoma_Of_Lung
CFL1,OxPhos monocyte,0.000645358,Adenocarcinoma_Of_Lung
FOSL1,OxPhos monocyte,0.000679331,Adenocarcinoma_Of_Lung
CST6,OxPhos monocyte,0.000645358,Adenocarcinoma_Of_Lung
RIN1,OxPhos monocyte,0.000849098,Adenocarcinoma_Of_Lung
FOLR1,Ionocyte cell,0.02563535,Adenocarcinoma_Of_Lung
FOLR2,Ionocyte cell,0.02563535,Adenocarcinoma_Of_Lung
ATG16L2,SLC16A7+ cell,0.019896106,Adenocarcinoma_Of_Lung
P2RY6,Ciliated cell,0.001200666,Adenocarcinoma_Of_Lung
PGR,Lymphangioleiomyomatosis cell(LAMcore),0.000118906,Adenocarcinoma_Of_Lung
YAP1,Activated dendritic cell,0.000203825,Adenocarcinoma_Of_Lung
MMP7,M2 macrophage,0.001154744,Adenocarcinoma_Of_Lung
MMP13,SLC16A7+ cell,0.039396687,Adenocarcinoma_Of_Lung
POU2AF1,Neuroendocrine cell,0.008429628,Adenocarcinoma_Of_Lung
POU2AF1,FOXN4+ cell,0.008227203,Adenocarcinoma_Of_Lung
POU2AF1,Brush cell (Tuft cell),0.008227203,Adenocarcinoma_Of_Lung
HSPB2,FOXN4+ cell,0.010954905,Adenocarcinoma_Of_Lung
HSPB2,Immune cell,0.004340558,Adenocarcinoma_Of_Lung
LAYN,FOXN4+ cell,0.00549235,Adenocarcinoma_Of_Lung
NCAM1,SLC16A7+ cell,0.00117082,Adenocarcinoma_Of_Lung
TAGLN,SLC16A7+ cell,0.019308814,Adenocarcinoma_Of_Lung
TAGLN,Muscularis cell,0.00037366,Adenocarcinoma_Of_Lung
TAGLN,Airway smooth muscle cell,0.000933913,Adenocarcinoma_Of_Lung
TAGLN,Vascular smooth muscle cell(VSMC),0.000747194,Adenocarcinoma_Of_Lung
TAGLN,Stromal cell,0.003358377,Adenocarcinoma_Of_Lung
TAGLN,Myofibroblastic cancer-associated fibroblast,0.000186846,Adenocarcinoma_Of_Lung
TMPRSS4,CD8+ T cell,0.005338247,Adenocarcinoma_Of_Lung
MPZL3,CD8+ T cell,0.005929573,Adenocarcinoma_Of_Lung
MPZL2,CD8+ T cell,0.005929573,Adenocarcinoma_Of_Lung
THY1,Epithelial cell,0.00422377,Adenocarcinoma_Of_Lung
THY1,Cancer stem cell,0.001171636,Adenocarcinoma_Of_Lung
THY1,Fibroblast,0.002189706,Adenocarcinoma_Of_Lung
THY1,Stem cell,0.000662342,Adenocarcinoma_Of_Lung
THY1,Mesenchymal stem cell,0.000407629,Adenocarcinoma_Of_Lung
GAPDH,Macrophage,0.014295116,Adenocarcinoma_Of_Lung
GAPDH,Monocyte,0.007634972,Adenocarcinoma_Of_Lung
GAPDH,M2 macrophage,0.006335096,Adenocarcinoma_Of_Lung
GAPDH,Fibroblast,0.008006051,Adenocarcinoma_Of_Lung
GAPDH,Epithelioid macrophage,0.000560462,Adenocarcinoma_Of_Lung
GAPDH,Tumor‐associated macrophage (TAM),0.000933945,Adenocarcinoma_Of_Lung
CHD4,Macrophage,0.016872471,Adenocarcinoma_Of_Lung
CHD4,Monocyte,0.009017026,Adenocarcinoma_Of_Lung
CHD4,M2 macrophage,0.00748274,Adenocarcinoma_Of_Lung
CHD4,Fibroblast,0.009454955,Adenocarcinoma_Of_Lung
CHD4,Epithelioid macrophage,0.000662342,Adenocarcinoma_Of_Lung
CHD4,Tumor‐associated macrophage (TAM),0.001103678,Adenocarcinoma_Of_Lung
ING4,Macrophage,0.022006503,Adenocarcinoma_Of_Lung
ING4,Monocyte,0.011775104,Adenocarcinoma_Of_Lung
ING4,M2 macrophage,0.009773837,Adenocarcinoma_Of_Lung
ING4,Fibroblast,0.012346147,Adenocarcinoma_Of_Lung
ING4,Epithelioid macrophage,0.000866051,Adenocarcinoma_Of_Lung
ING4,Tumor‐associated macrophage (TAM),0.001443026,Adenocarcinoma_Of_Lung
ZNF384,Macrophage,0.022006503,Adenocarcinoma_Of_Lung
ZNF384,Monocyte,0.011775104,Adenocarcinoma_Of_Lung
ZNF384,M2 macrophage,0.009773837,Adenocarcinoma_Of_Lung
ZNF384,Fibroblast,0.012346147,Adenocarcinoma_Of_Lung
ZNF384,Epithelioid macrophage,0.000866051,Adenocarcinoma_Of_Lung
ZNF384,Tumor‐associated macrophage (TAM),0.001443026,Adenocarcinoma_Of_Lung
ENO2,Ciliated cell,0.04121131,Adenocarcinoma_Of_Lung
ATN1,Ciliated cell,0.04121131,Adenocarcinoma_Of_Lung
TAS2R13,Epithelial cell,0.020942959,Adenocarcinoma_Of_Lung
LDHB,Ionocyte cell,0.030682757,Adenocarcinoma_Of_Lung
LDHB,Effector CD4+ T cell,0.000407619,Adenocarcinoma_Of_Lung
LDHB,Memory CD4+ T cell,0.000407619,Adenocarcinoma_Of_Lung
BHLHE41,SLC16A7+ cell,0.039396687,Adenocarcinoma_Of_Lung
ARNTL2,Ionocyte cell,0.045668892,Adenocarcinoma_Of_Lung
ARNTL2,FOXN4+ cell,0.012315283,Adenocarcinoma_Of_Lung
SLC38A1,SLC16A7+ cell,0.005624995,Adenocarcinoma_Of_Lung
FKBP11,Plasma cell,0.004576961,Adenocarcinoma_Of_Lung
WNT1,Plasma cell,0.003663248,Adenocarcinoma_Of_Lung
KMT2D,Plasma cell,0.004120175,Adenocarcinoma_Of_Lung
AQP5,SLC16A7+ cell,0.026673627,Adenocarcinoma_Of_Lung
TUBA1C,SLC16A7+ cell,0.019308814,Adenocarcinoma_Of_Lung
TUBA1C,Plasma cell,0.005033632,Adenocarcinoma_Of_Lung
TROAP,SLC16A7+ cell,0.01600723,Adenocarcinoma_Of_Lung
TROAP,Plasma cell,0.004577039,Adenocarcinoma_Of_Lung
SMARCD1,SLC16A7+ cell,0.012976001,Adenocarcinoma_Of_Lung
GALNT6,SLC16A7+ cell,0.00117082,Adenocarcinoma_Of_Lung
ACVR1B,Vascular cell,0.000475543,Adenocarcinoma_Of_Lung
KRT7,Epithelial cell,0.01261829,Adenocarcinoma_Of_Lung
KRT7,Ionocyte cell,0.000940031,Adenocarcinoma_Of_Lung
KRT8,Basal cell,0.015637598,Adenocarcinoma_Of_Lung
STAT2,SLC16A7+ cell,0.022868411,Adenocarcinoma_Of_Lung
